Class,Average MSE
Trouser,0.016511502510868012
Sneaker,0.01653650529216975
Coat,0.016543398221954702
Ankle boot,0.01655794758256525
T-shirt/top,0.016585905351676047
Shirt,0.016586309460923074
Dress,0.016591634817421437
Sandal,0.016617168858647346
Pullover,0.016621879653073848
Bag,0.016678887815214694
